,County,Retail_Recreation,Grocery_Pharmacy,Parks,Transit,Workplace,Residential,State
71,Washington County,-28%,+9%,,,-23%,+12%,Mississippi
72,Wayne County,-42%,-14%,,,-20%,,Mississippi
73,Webster County,-44%,-18%,,,-49%,,Mississippi
74,Wilkinson County,,-22%,,,-51%,,Mississippi
75,Winston County,-27%,-2%,,,-20%,,Mississippi
76,Yalobusha County,,-8%,,,-51%,,Mississippi
0,Adair County,-50%,+57%,,,-29%,-1%,Missouri
1,Andrew County,-68%,+12%,,,-24%,,Missouri
2,Audrain County,-28%,+2%,,,-23%,+6%,Missouri
3,Barry County,-32%,+10%,,,-23%,+11%,Missouri
4,Barton County,-23%,,,,-34%,,Missouri
5,Bates County,-27%,+30%,,,-19%,,Missouri
6,Benton County,-48%,+136%,,,-32%,,Missouri
7,Bollinger County,-50%,-9%,,,-45%,,Missouri
8,Boone County,-54%,+11%,-13%,-61%,-34%,+12%,Missouri
9,Buchanan County,-39%,+21%,,-17%,-30%,+10%,Missouri
10,Butler County,-33%,-3%,,,-22%,+13%,Missouri
11,Caldwell County,,,,,-28%,,Missouri
12,Callaway County,-40%,+6%,,,-18%,+18%,Missouri
13,Camden County,-43%,+2%,,,-32%,+14%,Missouri
14,Cape Girardeau County,-50%,-17%,+0%,,-35%,+18%,Missouri
15,Carroll County,-30%,,,,-34%,,Missouri
16,Cass County,-34%,+1%,+6%,-23%,-30%,+11%,Missouri
17,Cedar County,-23%,-12%,,,-27%,,Missouri
18,Chariton County,,,,,-39%,,Missouri
19,Christian County,-36%,+2%,-34%,,-30%,+12%,Missouri
20,Clark County,,-8%,,-35%,-28%,,Missouri
21,Clay County,-43%,+7%,+146%,-27%,-37%,+13%,Missouri
22,Clinton County,-54%,-10%,,,-20%,,Missouri
23,Cole County,-43%,+1%,,,-27%,+22%,Missouri
24,Cooper County,-30%,-2%,,-17%,-21%,,Missouri
25,Crawford County,-32%,+1%,,-18%,-28%,,Missouri
26,Dade County,,,,,-38%,,Missouri
27,Dallas County,-10%,+17%,,,-25%,,Missouri
28,Daviess County,,,,,-26%,,Missouri
29,DeKalb County,-11%,+3%,,,-34%,,Missouri
30,Dent County,-17%,,,,-11%,,Missouri
31,Douglas County,-24%,-21%,,,-33%,,Missouri
32,Dunklin County,-26%,+21%,,,-9%,,Missouri
33,Franklin County,-39%,+16%,+22%,-23%,-28%,+12%,Missouri
34,Gasconade County,-34%,,,,-30%,,Missouri
35,Gentry County,,,,,-50%,,Missouri
36,Greene County,-55%,-22%,-25%,-35%,-36%,+12%,Missouri
37,Grundy County,-2%,+2%,,,-27%,,Missouri
38,Harrison County,-81%,-20%,,-14%,-32%,,Missouri
39,Henry County,-34%,+11%,,,-20%,-1%,Missouri
40,Hickory County,,,,,-25%,,Missouri
41,Howard County,,,,,-33%,,Missouri
42,Howell County,-43%,-5%,,-12%,-23%,+13%,Missouri
43,Iron County,-60%,+10%,+44%,,-32%,,Missouri
44,Jackson County,-46%,-3%,-6%,-10%,-37%,+12%,Missouri
45,Jasper County,-40%,-1%,+1%,-17%,-30%,+11%,Missouri
46,Jefferson County,-38%,+5%,+6%,-3%,-32%,+13%,Missouri
47,Johnson County,-41%,+10%,,,-29%,+19%,Missouri
48,Laclede County,-37%,-3%,,,-26%,+15%,Missouri
49,Lafayette County,-31%,-3%,,-18%,-27%,+15%,Missouri
50,Lawrence County,-18%,+18%,,-31%,-29%,+12%,Missouri
51,Lewis County,-27%,,,,-41%,,Missouri
52,Lincoln County,-36%,+14%,,,-30%,+19%,Missouri
53,Linn County,-32%,-4%,,,-29%,,Missouri
54,Livingston County,-11%,+11%,,,-23%,,Missouri
55,Macon County,-20%,+6%,,-20%,-25%,,Missouri
56,Madison County,-19%,,,,-30%,,Missouri
57,Maries County,,,,,-38%,,Missouri
58,Marion County,-38%,-2%,,-38%,-29%,+13%,Missouri
59,McDonald County,-28%,+1%,,,-16%,-4%,Missouri
60,Miller County,-34%,+13%,-32%,,-29%,-3%,Missouri
61,Mississippi County,-48%,,,-41%,-26%,,Missouri
62,Moniteau County,-22%,+23%,,,-38%,,Missouri
63,Monroe County,-61%,,,,-37%,,Missouri
64,Montgomery County,-54%,+2%,,,-30%,,Missouri
65,Morgan County,-26%,+21%,,,-26%,,Missouri
66,New Madrid County,-28%,+7%,,-37%,-12%,,Missouri
67,Newton County,-43%,-7%,+52%,-24%,-28%,+16%,Missouri
68,Nodaway County,-40%,-17%,,,-25%,,Missouri
69,Oregon County,-9%,+2%,,,-33%,,Missouri
70,Osage County,-74%,-7%,,,-44%,,Missouri
71,Ozark County,,,,,-32%,,Missouri
72,Pemiscot County,-34%,+22%,,-40%,-17%,,Missouri
73,Perry County,-42%,-16%,,,-19%,,Missouri
74,Pettis County,-38%,-1%,,,-29%,+17%,Missouri
75,Phelps County,-49%,-8%,,-26%,-26%,+18%,Missouri
76,Pike County,-38%,-11%,,,-13%,,Missouri
77,Platte County,-55%,+26%,+8%,-83%,-36%,+14%,Missouri
78,Polk County,-37%,-2%,-46%,,-24%,+12%,Missouri
79,Pulaski County,-40%,-6%,,-60%,-17%,+16%,Missouri
80,Putnam County,,,,,-33%,,Missouri
81,Ralls County,-54%,,,-17%,-33%,,Missouri
82,Randolph County,-35%,-8%,,,-15%,+1%,Missouri
83,Ray County,-32%,+5%,,,-34%,+7%,Missouri
84,Ripley County,-5%,-2%,,,-43%,,Missouri
85,Saline County,-30%,+1%,,,-19%,+0%,Missouri
86,Schuyler County,,,,,-33%,,Missouri
87,Scott County,-40%,+6%,,-27%,-20%,+15%,Missouri
88,Shannon County,,,,,-40%,,Missouri
89,Shelby County,,,,,-28%,,Missouri
90,St. Charles County,-50%,+6%,+24%,-23%,-39%,+14%,Missouri
91,St. Clair County,-14%,+8%,,-25%,-33%,,Missouri
92,St. Francois County,-36%,+4%,-29%,,-22%,+15%,Missouri
93,Sat Apr 11,-62%,-4%,-33%,-40%,-40%,+14%,Missouri
94,St. Louis County,-49%,-5%,-5%,-55%,-39%,+15%,Missouri
95,Ste. Genevieve County,-41%,,,-20%,-20%,,Missouri
96,Stoddard County,-32%,-2%,,,-15%,-2%,Missouri
97,Stone County,-20%,+14%,,,-32%,+9%,Missouri
98,Sullivan County,,,,,-7%,,Missouri
99,Taney County,-57%,-4%,-27%,,-48%,+16%,Missouri
100,Texas County,-76%,+97%,,,-18%,,Missouri
101,Vernon County,-35%,+6%,,-29%,-14%,,Missouri
102,Warren County,-27%,+6%,,-15%,-31%,+18%,Missouri
103,Washington County,-9%,+20%,,,-18%,,Missouri
104,Wayne County,+0%,+9%,,,-39%,,Missouri
105,Webster County,-31%,+4%,,-36%,-27%,+13%,Missouri
0,Beaverhead County,-39%,-20%,,,-34%,,Montana
1,Big Horn County,-31%,-7%,,-20%,-38%,,Montana
2,Blaine County,,,,,-51%,,Montana
3,Broadwater County,-67%,-5%,,,-43%,,Montana
4,Carbon County,-61%,-21%,,,-47%,,Montana
5,Cascade County,-58%,-26%,-60%,-73%,-41%,+15%,Montana
6,Custer County,-35%,,,,-36%,,Montana
7,Dawson County,-60%,-2%,,,-34%,,Montana
8,Deer Lodge County,-51%,-12%,,,-40%,,Montana
9,Fergus County,-38%,-22%,,,-38%,,Montana
10,Flathead County,-49%,-12%,-56%,-41%,-39%,+13%,Montana
11,Gallatin County,-64%,-27%,-61%,-70%,-50%,+19%,Montana
12,Glacier County,-59%,-17%,,,-63%,,Montana
13,Hill County,-32%,+4%,,,-32%,,Montana
14,Jefferson County,-64%,,,,-45%,,Montana
15,Lake County,-26%,-9%,,,-29%,+1%,Montana
16,Lewis and Clark County,-55%,-22%,-56%,,-41%,+19%,Montana
17,Lincoln County,-81%,-18%,,,-32%,,Montana
18,Madison County,-100%,,-62%,,-59%,,Montana
19,Mineral County,,-61%,,,-38%,,Montana
20,Missoula County,-54%,-19%,-44%,-41%,-41%,+15%,Montana
21,Park County,-49%,-16%,,,-45%,,Montana
22,Pondera County,-56%,,,,,,Montana
23,Powell County,,,,,-35%,,Montana
24,Ravalli County,-35%,+6%,,,-35%,+12%,Montana
25,Richland County,-43%,-15%,,,-36%,,Montana
26,Roosevelt County,-20%,-20%,,,-50%,,Montana
27,Rosebud County,,,,,-40%,,Montana
28,Sanders County,-60%,-24%,,,-39%,,Montana
29,Silver Bow County,-44%,+3%,,-35%,-40%,+11%,Montana
30,Stillwater County,-47%,,,-28%,-38%,,Montana
31,Teton County,,,,,-34%,,Montana
32,Valley County,-68%,,,,-37%,,Montana
0,Adams County,-38%,-9%,,,-19%,+18%,Nebraska
1,Antelope County,,,,,-26%,,Nebraska
2,Box Butte County,-28%,-2%,,,-13%,,Nebraska
3,Buffalo County,-53%,-8%,,-17%,-33%,+21%,Nebraska
4,Burt County,-58%,,,,-33%,,Nebraska
5,Butler County,-55%,,,,-36%,,Nebraska
6,Cass County,-45%,,-63%,,-29%,+12%,Nebraska
7,Cedar County,,,,,-42%,,Nebraska
8,Cherry County,-68%,,,,-39%,,Nebraska
9,Cheyenne County,-29%,-20%,,+6%,-43%,,Nebraska
10,Clay County,,,,,-42%,,Nebraska
11,Colfax County,-65%,-8%,,,-8%,,Nebraska
12,Cuming County,-37%,,,,-36%,,Nebraska
13,Custer County,-49%,-11%,,,-30%,,Nebraska
14,Dakota County,-18%,+49%,,,+13%,+1%,Nebraska
15,Dawes County,-38%,,,,-35%,,Nebraska
16,Dawson County,-21%,+0%,,,-20%,-2%,Nebraska
17,Deuel County,,,,+3%,,,Nebraska
18,Dixon County,,,,,-30%,,Nebraska
19,Dodge County,-24%,+3%,,-14%,-29%,+16%,Nebraska
20,Douglas County,-45%,+6%,-4%,-34%,-34%,+12%,Nebraska
21,Fillmore County,,,,,-27%,,Nebraska
22,Gage County,-34%,+9%,,,-21%,+1%,Nebraska
23,Hall County,-49%,-20%,,-9%,-35%,+20%,Nebraska
24,Hamilton County,-58%,,,-1%,-34%,,Nebraska
25,Holt County,-25%,-4%,,,-26%,,Nebraska
26,Howard County,,,,,-38%,,Nebraska
27,Jefferson County,-25%,,,,-34%,,Nebraska
28,Johnson County,,,,,-34%,,Nebraska
29,Kearney County,,,,,-42%,,Nebraska
30,Keith County,-36%,-22%,,+0%,-29%,,Nebraska
31,Kimball County,,,,,-49%,,Nebraska
32,Knox County,,,,,-45%,,Nebraska
33,Lancaster County,-40%,-5%,+117%,-19%,-30%,+11%,Nebraska
34,Lincoln County,-38%,+3%,,-14%,-22%,+14%,Nebraska
35,Madison County,-38%,+3%,,,-23%,+16%,Nebraska
36,Merrick County,-30%,,,,-37%,,Nebraska
37,Morrill County,,,,,-36%,,Nebraska
38,Nemaha County,-58%,,,,-32%,,Nebraska
39,Otoe County,-21%,+51%,,,-23%,,Nebraska
40,Phelps County,-29%,+16%,,,-45%,,Nebraska
41,Pierce County,,,,,-40%,,Nebraska
42,Platte County,-35%,+0%,,-8%,-16%,+19%,Nebraska
43,Polk County,,,,,-37%,,Nebraska
44,Red Willow County,-24%,,,,-24%,,Nebraska
45,Richardson County,-36%,-2%,,,-23%,,Nebraska
46,Saline County,-23%,+14%,,,-34%,,Nebraska
47,Sarpy County,-38%,+0%,+115%,-6%,-31%,+12%,Nebraska
48,Saunders County,-35%,+20%,,,-24%,,Nebraska
49,Scotts Bluff County,-36%,-1%,,,-26%,+14%,Nebraska
50,Seward County,-33%,,,,-19%,,Nebraska
51,Stanton County,,,,,-33%,,Nebraska
52,Thayer County,,,,,-17%,,Nebraska
53,Thurston County,,,,,-40%,,Nebraska
54,Washington County,-25%,-9%,,,-21%,,Nebraska
55,Wayne County,-39%,,,,-45%,,Nebraska
0,Carson City,-35%,-2%,+34%,,-40%,+20%,Nevada
1,Churchill County,-19%,-15%,,,-31%,+5%,Nevada
2,Clark County,-47%,-15%,-50%,-59%,-56%,+18%,Nevada
3,Douglas County,-54%,-42%,-32%,,-46%,+19%,Nevada
4,Elko County,-43%,+20%,+7%,+0%,-34%,+16%,Nevada
5,Humboldt County,-49%,+2%,,-13%,-26%,,Nevada
6,Lander County,-57%,-14%,,,-48%,,Nevada
7,Lyon County,-21%,+16%,,-20%,-40%,+18%,Nevada
8,Mineral County,,,,-21%,,,Nevada
9,Nye County,-29%,-14%,-61%,-20%,-38%,+15%,Nevada
10,Pershing County,,,,-10%,-30%,,Nevada
11,Storey County,-67%,,,,-51%,,Nevada
12,Washoe County,-43%,-11%,+19%,-53%,-45%,+14%,Nevada
0,Belknap County,-33%,+0%,-53%,,-35%,+23%,New Hampshire
1,Carroll County,-54%,-18%,-15%,,-42%,+22%,New Hampshire
2,Cheshire County,-33%,-6%,-22%,,-33%,+23%,New Hampshire
3,Coos County,-43%,+9%,-56%,,-37%,+10%,New Hampshire
4,Grafton County,-49%,-18%,-63%,-33%,-43%,+25%,New Hampshire
5,Hillsborough County,-48%,-9%,+97%,-40%,-38%,+14%,New Hampshire
6,Merrimack County,-39%,-6%,-4%,-57%,-34%,+13%,New Hampshire
7,Rockingham County,-41%,-4%,+63%,-57%,-37%,+14%,New Hampshire
8,Strafford County,-35%,-6%,-20%,-59%,-36%,+13%,New Hampshire
0,Atlantic County,-60%,+6%,+56%,-62%,-56%,+17%,New Jersey
1,Bergen County,-72%,-5%,-21%,-56%,-55%,+21%,New Jersey
2,Burlington County,-57%,+17%,+3%,-41%,-38%,+16%,New Jersey
3,Camden County,-56%,+6%,-33%,-55%,-40%,+16%,New Jersey
4,Cape May County,-52%,+7%,+25%,-46%,-36%,+12%,New Jersey
5,Cumberland County,-36%,-2%,-12%,-26%,-27%,+12%,New Jersey
6,Essex County,-65%,-13%,-30%,-77%,-48%,+20%,New Jersey
7,Gloucester County,-52%,-5%,-8%,-8%,-37%,+15%,New Jersey
8,Hudson County,-64%,-16%,-51%,-70%,-58%,+21%,New Jersey
9,Hunterdon County,-62%,+14%,,-38%,-45%,+32%,New Jersey
10,Mercer County,-63%,+30%,-2%,-72%,-42%,+17%,New Jersey
11,Middlesex County,-70%,-1%,-6%,-69%,-50%,+20%,New Jersey
12,Monmouth County,-63%,+13%,+24%,-49%,-43%,+17%,New Jersey
13,Morris County,-66%,+9%,+15%,-51%,-49%,+19%,New Jersey
14,Ocean County,-55%,+9%,+0%,-50%,-40%,+15%,New Jersey
15,Passaic County,-67%,-14%,+0%,-46%,-54%,+20%,New Jersey
16,Salem County,-37%,-16%,-18%,-61%,-28%,+22%,New Jersey
17,Somerset County,-68%,+10%,-12%,-46%,-47%,+20%,New Jersey
18,Sussex County,-49%,-1%,+42%,-45%,-40%,+16%,New Jersey
19,Union County,-63%,-12%,-40%,-53%,-52%,+20%,New Jersey
0,Bernalillo County,-48%,-12%,-2%,-39%,-40%,+14%,New Mexico
1,Chaves County,-43%,-11%,-38%,-57%,-26%,+11%,New Mexico
2,Cibola County,-44%,+8%,,-28%,-35%,,New Mexico
3,Colfax County,-64%,-29%,,-48%,-43%,,New Mexico
4,Curry County,-33%,-4%,-33%,-19%,-23%,+18%,New Mexico
5,Doña Ana County,-42%,-14%,-55%,-32%,-36%,+14%,New Mexico
6,Eddy County,-37%,-9%,-36%,-35%,-23%,+13%,New Mexico
7,Grant County,-37%,+4%,,,-32%,+2%,New Mexico
8,Guadalupe County,-44%,-9%,,-21%,,,New Mexico
9,Hidalgo County,-54%,,,-41%,,,New Mexico
10,Lea County,-40%,-5%,-22%,-50%,-19%,+13%,New Mexico
11,Lincoln County,-72%,-33%,-76%,,-49%,,New Mexico
12,Los Alamos County,-66%,-34%,,,-53%,,New Mexico
13,Luna County,-43%,-20%,-55%,-38%,-23%,,New Mexico
14,McKinley County,-70%,-48%,,-25%,-32%,+21%,New Mexico
15,Otero County,-41%,-12%,-55%,,-36%,+19%,New Mexico
16,Quay County,-15%,+1%,,-14%,-39%,,New Mexico
17,Rio Arriba County,-17%,-15%,,,-35%,+12%,New Mexico
18,Roosevelt County,-26%,-17%,,,-18%,,New Mexico
19,San Juan County,-55%,-16%,-9%,-52%,-34%,+16%,New Mexico
20,San Miguel County,-22%,-6%,,-46%,-22%,-1%,New Mexico
21,Sandoval County,-35%,-4%,+18%,-46%,-43%,+14%,New Mexico
22,Santa Fe County,-51%,-15%,-30%,-36%,-46%,+15%,New Mexico
23,Sierra County,-39%,+4%,,,-28%,,New Mexico
24,Socorro County,-42%,-7%,,,-34%,,New Mexico
25,Taos County,-62%,-14%,-7%,,-47%,+1%,New Mexico
26,Torrance County,-24%,+9%,,-22%,-22%,,New Mexico
27,Union County,,,,-46%,,,New Mexico
0,Albany County,-62%,+37%,+66%,-54%,-37%,+14%,New York
1,Allegany County,-35%,-15%,,,-31%,+18%,New York
2,Bronx County,-61%,-12%,-20%,-48%,-52%,+19%,New York
3,Broome County,-50%,+5%,+40%,-38%,-36%,+13%,New York
4,Cattaraugus County,-45%,+19%,+7%,,-38%,+25%,New York
5,Cayuga County,-38%,+10%,,-46%,-29%,+25%,New York
6,Chautauqua County,-38%,+12%,-22%,,-38%,+11%,New York
7,Chemung County,-53%,+37%,,-57%,-23%,+13%,New York
8,Chenango County,-45%,+9%,,,-33%,+24%,New York
9,Clinton County,-56%,+39%,,-71%,-30%,+23%,New York
10,Columbia County,-48%,+20%,,-29%,-33%,+22%,New York
11,Cortland County,-43%,+6%,,-39%,-33%,+21%,New York
12,Delaware County,-40%,+0%,,,-39%,+10%,New York
13,Dutchess County,-58%,+51%,+102%,-53%,-39%,+16%,New York
14,Erie County,-58%,+12%,+20%,-44%,-44%,+15%,New York
15,Essex County,-66%,-29%,-37%,,-47%,+3%,New York
16,Franklin County,-47%,-11%,,,-33%,+19%,New York
17,Fulton County,-40%,-12%,,,-25%,+20%,New York
18,Genesee County,-40%,+1%,,-58%,-37%,+26%,New York
19,Greene County,-32%,+5%,-33%,,-30%,+18%,New York
20,Herkimer County,-37%,+9%,,-62%,-32%,+23%,New York
21,Jefferson County,-39%,+21%,,,-27%,+10%,New York
22,Kings County,-67%,-19%,-9%,-61%,-53%,+19%,New York
23,Lewis County,-51%,-9%,,,-23%,,New York
24,Livingston County,-44%,+36%,,-41%,-33%,+27%,New York
25,Madison County,-35%,+4%,,-51%,-32%,+26%,New York
26,Monroe County,-54%,+12%,+97%,-33%,-40%,+14%,New York
27,Montgomery County,-34%,-11%,,-9%,-27%,+21%,New York
28,Nassau County,-67%,-3%,+39%,-61%,-52%,+20%,New York
29,New York County,-86%,-42%,-61%,-78%,-55%,+19%,New York
30,Niagara County,-45%,+35%,-24%,-53%,-41%,+13%,New York
31,Oneida County,-48%,+34%,+36%,-31%,-36%,+13%,New York
32,Onondaga County,-55%,+0%,+57%,-47%,-40%,+14%,New York
33,Ontario County,-52%,+1%,+79%,-62%,-37%,+13%,New York
34,Orange County,-54%,+6%,+149%,-45%,-40%,+16%,New York
35,Orleans County,-41%,+8%,,,-35%,+19%,New York
36,Oswego County,-31%,+20%,-15%,,-34%,+12%,New York
37,Otsego County,-46%,+7%,,,-39%,+24%,New York
38,Putnam County,-58%,-20%,-36%,-49%,-45%,+31%,New York
39,Queens County,-71%,-22%,+11%,-73%,-62%,+23%,New York
40,Rensselaer County,-47%,+32%,-7%,-47%,-34%,+13%,New York
41,Richmond County,-62%,+6%,-9%,-54%,-48%,+19%,New York
42,Rockland County,-68%,-8%,+146%,-61%,-50%,+17%,New York
43,Saratoga County,-55%,+25%,+15%,-40%,-35%,+13%,New York
44,Schenectady County,-50%,+27%,+2%,-39%,-34%,+13%,New York
45,Schoharie County,-31%,-4%,,,-15%,+3%,New York
46,Schuyler County,-27%,+4%,,,-26%,,New York
47,Seneca County,-37%,+2%,,-62%,-28%,+15%,New York
48,St. Lawrence County,-47%,+22%,-6%,,-34%,+11%,New York
49,Steuben County,-46%,+8%,-29%,-32%,-27%,+13%,New York
50,Suffolk County,-57%,+9%,+109%,-62%,-45%,+17%,New York
51,Sullivan County,-43%,+9%,,,-35%,+24%,New York
52,Tioga County,-41%,-2%,,,-33%,+24%,New York
53,Tompkins County,-60%,+37%,-34%,-29%,-43%,+32%,New York
54,Ulster County,-46%,+8%,+151%,-59%,-36%,+14%,New York
55,Warren County,-45%,+7%,+51%,-41%,-37%,+21%,New York
56,Washington County,-32%,+20%,,,-30%,+21%,New York
57,Wayne County,-36%,+64%,,,-31%,+11%,New York
58,Westchester County,-68%,+0%,+116%,-51%,-48%,+19%,New York
59,Wyoming County,-14%,-8%,,,-27%,+18%,New York
0,Alamance County,-43%,+4%,+57%,-32%,-32%,+11%,North Carolina
1,Alexander County,-30%,+13%,,,-33%,+16%,North Carolina
2,Alleghany County,-29%,-5%,,,-42%,,North Carolina
3,Anson County,-50%,-1%,,,-28%,,North Carolina
4,Ashe County,-28%,-14%,,,-29%,,North Carolina
5,Avery County,-57%,-20%,,,-31%,,North Carolina
6,Beaufort County,-26%,+1%,+25%,,-20%,+13%,North Carolina
7,Bertie County,-53%,+3%,,,-18%,,North Carolina
8,Bladen County,-23%,+6%,-27%,,-25%,+12%,North Carolina
9,Brunswick County,-32%,-3%,-12%,-62%,-32%,+10%,North Carolina
10,Buncombe County,-58%,-18%,+7%,-66%,-43%,+12%,North Carolina
11,Burke County,-32%,+3%,+43%,,-29%,+8%,North Carolina
12,Cabarrus County,-46%,-8%,+38%,-34%,-38%,+13%,North Carolina
13,Caldwell County,-28%,+5%,-2%,,-28%,+9%,North Carolina
14,Camden County,-46%,,,,-50%,,North Carolina
15,Carteret County,-38%,-3%,-16%,,-30%,+17%,North Carolina
16,Caswell County,-28%,+4%,,,-27%,,North Carolina
17,Catawba County,-48%,-7%,+39%,-28%,-35%,+11%,North Carolina
18,Chatham County,-26%,-11%,,,-29%,+22%,North Carolina
19,Cherokee County,-38%,-12%,,,-43%,+1%,North Carolina
20,Chowan County,-13%,+10%,,,-24%,,North Carolina
21,Clay County,-54%,-12%,,,-33%,,North Carolina
22,Cleveland County,-32%,+9%,+16%,,-30%,+9%,North Carolina
23,Columbus County,-28%,+10%,,,-24%,+18%,North Carolina
24,Craven County,-37%,-3%,+12%,-50%,-32%,+10%,North Carolina
25,Cumberland County,-39%,-7%,+6%,-40%,-34%,+11%,North Carolina
26,Currituck County,-25%,-9%,,,-23%,+8%,North Carolina
27,Dare County,-51%,-18%,-39%,,-34%,+12%,North Carolina
28,Davidson County,-30%,+6%,+81%,-20%,-35%,+9%,North Carolina
29,Davie County,-29%,+3%,,-41%,-33%,+17%,North Carolina
30,Duplin County,-37%,+7%,,-32%,-24%,+17%,North Carolina
31,Durham County,-48%,-18%,-6%,-33%,-41%,+14%,North Carolina
32,Edgecombe County,-13%,+17%,,,-35%,+19%,North Carolina
33,Forsyth County,-39%,-8%,+95%,+1%,-38%,+11%,North Carolina
34,Franklin County,-18%,+10%,,,-30%,+22%,North Carolina
35,Gaston County,-37%,-9%,+7%,,-33%,+11%,North Carolina
36,Gates County,,,,,-39%,,North Carolina
37,Graham County,,,,,-49%,,North Carolina
38,Granville County,-22%,-7%,,,-32%,+23%,North Carolina
39,Greene County,-41%,+2%,-17%,,-25%,,North Carolina
40,Guilford County,-46%,-11%,+50%,-35%,-40%,+12%,North Carolina
41,Halifax County,-32%,+1%,,,-29%,+18%,North Carolina
42,Harnett County,-29%,+6%,-15%,-24%,-28%,+10%,North Carolina
43,Haywood County,-36%,-1%,+12%,-36%,-31%,+19%,North Carolina
44,Henderson County,-45%,-3%,+81%,-23%,-35%,+11%,North Carolina
45,Hertford County,-43%,+47%,,,-21%,,North Carolina
46,Hoke County,-25%,+8%,,,-32%,+20%,North Carolina
47,Iredell County,-40%,+1%,+55%,-28%,-36%,+11%,North Carolina
48,Jackson County,-42%,-9%,+9%,,-50%,+17%,North Carolina
49,Johnston County,-34%,-4%,+30%,-30%,-32%,+12%,North Carolina
50,Jones County,,-6%,,,-53%,,North Carolina
51,Lee County,-30%,+1%,,,-28%,+21%,North Carolina
52,Lenoir County,-31%,+12%,,,-28%,+18%,North Carolina
53,Lincoln County,-18%,+16%,,,-33%,+10%,North Carolina
54,Macon County,-35%,-9%,-15%,,-33%,+14%,North Carolina
55,Madison County,-62%,-12%,,,-20%,,North Carolina
56,Martin County,-28%,-4%,,,-24%,,North Carolina
57,McDowell County,-20%,+5%,+9%,-21%,-18%,+18%,North Carolina
58,Mecklenburg County,-52%,-9%,-17%,-68%,-43%,+15%,North Carolina
59,Mitchell County,-33%,-10%,,,-24%,,North Carolina
60,Montgomery County,-34%,+4%,+9%,-49%,-26%,-1%,North Carolina
61,Moore County,-48%,-2%,+12%,,-39%,+21%,North Carolina
62,Nash County,-36%,+3%,,-32%,-32%,+10%,North Carolina
63,New Hanover County,-51%,-14%,-25%,-67%,-39%,+13%,North Carolina
64,Northampton County,-67%,+21%,,,-24%,,North Carolina
65,Onslow County,-35%,-2%,+10%,-71%,-29%,+10%,North Carolina
66,Orange County,-52%,-18%,-4%,-31%,-41%,+14%,North Carolina
67,Pamlico County,-23%,+9%,,,-45%,,North Carolina
68,Pasquotank County,-30%,+4%,,,-21%,+20%,North Carolina
69,Pender County,-23%,+0%,,,-23%,+20%,North Carolina
70,Perquimans County,-53%,-2%,,,-43%,,North Carolina
71,Person County,-26%,+10%,,,-31%,+17%,North Carolina
72,Pitt County,-43%,-10%,-2%,-29%,-33%,+11%,North Carolina
73,Polk County,-48%,-19%,,,-29%,,North Carolina
74,Randolph County,-42%,-2%,-20%,,-30%,+9%,North Carolina
75,Richmond County,-33%,+40%,,,-24%,+11%,North Carolina
76,Robeson County,-29%,+7%,,-40%,-23%,+7%,North Carolina
77,Rockingham County,-23%,+6%,,-34%,-30%,+10%,North Carolina
78,Rowan County,-39%,+2%,+35%,-27%,-33%,+10%,North Carolina
79,Rutherford County,-31%,+4%,+9%,,-26%,+17%,North Carolina
80,Sampson County,-23%,+8%,,,-27%,+17%,North Carolina
81,Scotland County,-21%,-7%,,,-30%,+12%,North Carolina
82,Stanly County,-28%,+1%,,,-33%,+20%,North Carolina
83,Stokes County,-29%,+15%,-22%,,-30%,+15%,North Carolina
84,Surry County,-30%,+4%,-11%,-31%,-29%,+19%,North Carolina
85,Swain County,-75%,+0%,-25%,,-56%,,North Carolina
86,Transylvania County,-25%,-19%,-8%,,-24%,+6%,North Carolina
87,Union County,-35%,+0%,-14%,-31%,-35%,+13%,North Carolina
88,Vance County,-29%,+5%,,,-30%,+19%,North Carolina
89,Wake County,-49%,-18%,+26%,-71%,-40%,+15%,North Carolina
90,Warren County,-4%,+7%,,,-23%,,North Carolina
91,Washington County,-29%,+4%,,,-38%,,North Carolina
92,Watauga County,-62%,-32%,+28%,,-43%,+18%,North Carolina
93,Wayne County,-35%,+0%,-37%,-29%,-30%,+9%,North Carolina
94,Wilkes County,-36%,+14%,-26%,,-35%,+17%,North Carolina
95,Wilson County,-32%,+3%,-11%,,-25%,+10%,North Carolina
96,Yadkin County,-46%,+0%,,,-35%,+15%,North Carolina
0,Barnes County,-34%,,,,-41%,,North Dakota
1,Bottineau County,-34%,,,,-51%,,North Dakota
2,Burleigh County,-51%,-8%,-15%,-54%,-32%,+14%,North Dakota
3,Cass County,-56%,-11%,+8%,-38%,-32%,+15%,North Dakota
4,Dunn County,-56%,-17%,-54%,,,,North Dakota
5,Grand Forks County,-51%,+1%,-53%,-51%,-31%,+24%,North Dakota
6,McKenzie County,-48%,-21%,,-45%,-31%,,North Dakota
7,McLean County,-63%,,,,-40%,,North Dakota
8,Mercer County,,+6%,,,-41%,,North Dakota
9,Morton County,-45%,+6%,,-11%,-35%,+19%,North Dakota
10,Mountrail County,-67%,-25%,,,-36%,,North Dakota
11,Pembina County,,,,,-44%,,North Dakota
12,Ramsey County,-42%,-16%,,,-41%,,North Dakota
13,Ransom County,,,,,-56%,,North Dakota
14,Richland County,-38%,+2%,,,-29%,,North Dakota
15,Rolette County,-33%,,,,-57%,,North Dakota
